Kota/Kabupaten;Tahun;Tanaman;Produksi;Wilayah
Ngawi;2019;Belimbing;6777;Kabupaten
Bojonegoro;2019;Belimbing;24651;Kabupaten
Tuban;2019;Belimbing;34929;Kabupaten
Lamongan;2019;Belimbing;10818;Kabupaten
Gresik;2019;Belimbing;5399;Kabupaten
Bangkalan;2019;Belimbing;453;Kabupaten
Sampang;2019;Belimbing;384;Kabupaten
Pamekasan;2019;Belimbing;533;Kabupaten
Sumenep;2019;Belimbing;1043;Kabupaten
Kediri;2019;Belimbing;1642;Kota
Blitar;2019;Belimbing;18882;Kota
Malang;2019;Belimbing;1438;Kota
Probolinggo;2019;Belimbing;640;Kota
Pasuruan;2019;Belimbing;3875;Kota
Mojokerto;2019;Belimbing;27;Kota
Madiun;2019;Belimbing;536;Kota
Surabaya;2019;Belimbing;3550;Kota
Batu;2019;Belimbing;82;Kota
Pacitan;2020;Belimbing;1910;Kabupaten
Ponorogo;2020;Belimbing;11781;Kabupaten
Trenggalek;2020;Belimbing;3500;Kabupaten
Tulungagung;2020;Belimbing;56011;Kabupaten
Blitar;2020;Belimbing;82334;Kabupaten
Kediri;2020;Belimbing;20948;Kabupaten
Malang;2020;Belimbing;77674;Kabupaten
Lumajang;2020;Belimbing;6881;Kabupaten
Jember;2020;Belimbing;30622;Kabupaten
Banyuwangi;2020;Belimbing;2613;Kabupaten
Bondowoso;2020;Belimbing;2262;Kabupaten
Situbondo;2020;Belimbing;246;Kabupaten
Probolinggo;2020;Belimbing;2481;Kabupaten
Pasuruan;2020;Belimbing;77607;Kabupaten
Sidoarjo;2020;Belimbing;8497;Kabupaten
Mojokerto;2020;Belimbing;6805;Kabupaten
Jombang;2020;Belimbing;40056;Kabupaten
Nganjuk;2020;Belimbing;28500;Kabupaten
Madiun;2020;Belimbing;2996;Kabupaten
Magetan;2020;Belimbing;680;Kabupaten
Ngawi;2020;Belimbing;4180;Kabupaten
Bojonegoro;2020;Belimbing;15290;Kabupaten
Tuban;2020;Belimbing;41322;Kabupaten
Lamongan;2020;Belimbing;17599;Kabupaten
Gresik;2020;Belimbing;4577;Kabupaten
Bangkalan;2020;Belimbing;331;Kabupaten
Sampang;2020;Belimbing;353;Kabupaten
Pamekasan;2020;Belimbing;1163;Kabupaten
Sumenep;2020;Belimbing;986;Kabupaten
Kediri;2020;Belimbing;2805;Kota
Blitar;2020;Belimbing;30156;Kota
Malang;2020;Belimbing;1419;Kota
Probolinggo;2020;Belimbing;1336;Kota
Pasuruan;2020;Belimbing;2426;Kota
Mojokerto;2020;Belimbing;22;Kota
Madiun;2020;Belimbing;1069;Kota
Surabaya;2020;Belimbing;4290;Kota
Batu;2020;Belimbing;99;Kota
Pacitan;2021;Belimbing;1991;Kabupaten
Ponorogo;2021;Belimbing;12802;Kabupaten
Trenggalek;2021;Belimbing;4087;Kabupaten
Tulungagung;2021;Belimbing;103994;Kabupaten
Blitar;2021;Belimbing;109513;Kabupaten
Kediri;2021;Belimbing;40225;Kabupaten
Malang;2021;Belimbing;174485;Kabupaten
Lumajang;2021;Belimbing;7027;Kabupaten
Jember;2021;Belimbing;21270;Kabupaten
Banyuwangi;2021;Belimbing;6925;Kabupaten
Bondowoso;2021;Belimbing;2209;Kabupaten
Situbondo;2021;Belimbing;589;Kabupaten
Probolinggo;2021;Belimbing;3084;Kabupaten
Pasuruan;2021;Belimbing;952;Kabupaten
Sidoarjo;2021;Belimbing;11090;Kabupaten
Mojokerto;2021;Belimbing;5177;Kabupaten
Jombang;2021;Belimbing;62268;Kabupaten
Nganjuk;2021;Belimbing;25901;Kabupaten
Madiun;2021;Belimbing;4952;Kabupaten
Magetan;2021;Belimbing;1137;Kabupaten
Ngawi;2021;Belimbing;10856;Kabupaten
Bojonegoro;2021;Belimbing;10954;Kabupaten
Tuban;2021;Belimbing;45759;Kabupaten
Lamongan;2021;Belimbing;8274;Kabupaten
Gresik;2021;Belimbing;6896;Kabupaten
Bangkalan;2021;Belimbing;397;Kabupaten
Sampang;2021;Belimbing;184;Kabupaten
Pamekasan;2021;Belimbing;720;Kabupaten
Sumenep;2021;Belimbing;1533;Kabupaten
Kediri;2021;Belimbing;3587;Kota
Blitar;2021;Belimbing;30597;Kota
Malang;2021;Belimbing;1491;Kota
Probolinggo;2021;Belimbing;516;Kota
Pasuruan;2021;Belimbing;2346;Kota
Mojokerto;2021;Belimbing;77;Kota
Madiun;2021;Belimbing;1244;Kota
Surabaya;2021;Belimbing;2538;Kota
Batu;2021;Belimbing;88;Kota
Pacitan;2018;Jambu Air;7206;Kabupaten
Ponorogo;2018;Jambu Air;3830;Kabupaten
Trenggalek;2018;Jambu Air;626;Kabupaten
Tulungagung;2018;Jambu Air;2313;Kabupaten
Blitar;2018;Jambu Air;1871;Kabupaten
Kediri;2018;Jambu Air;40180;Kabupaten
Malang;2018;Jambu Air;7880;Kabupaten
Lumajang;2018;Jambu Air;618;Kabupaten
Jember;2018;Jambu Air;4859;Kabupaten
Banyuwangi;2018;Jambu Air;4616;Kabupaten
Bondowoso;2018;Jambu Air;2133;Kabupaten
Situbondo;2018;Jambu Air;525;Kabupaten
Probolinggo;2018;Jambu Air;1289;Kabupaten
Pasuruan;2018;Jambu Air;19784;Kabupaten
Sidoarjo;2018;Jambu Air;1513;Kabupaten
Mojokerto;2018;Jambu Air;2233;Kabupaten
Jombang;2018;Jambu Air;7701;Kabupaten
Nganjuk;2018;Jambu Air;9410;Kabupaten
Madiun;2018;Jambu Air;2820;Kabupaten
Magetan;2018;Jambu Air;138;Kabupaten
Ngawi;2018;Jambu Air;3788;Kabupaten
Bojonegoro;2018;Jambu Air;16115;Kabupaten
Tuban;2018;Jambu Air;1719;Kabupaten
Lamongan;2018;Jambu Air;3999;Kabupaten
Gresik;2018;Jambu Air;5329;Kabupaten
Bangkalan;2018;Jambu Air;1187;Kabupaten
Sampang;2018;Jambu Air;17010;Kabupaten
Pamekasan;2018;Jambu Air;1593;Kabupaten
Sumenep;2018;Jambu Air;2015;Kabupaten
Kediri;2018;Jambu Air;105;Kota
Blitar;2018;Jambu Air;197;Kota
Malang;2018;Jambu Air;109;Kota
Probolinggo;2018;Jambu Air;22;Kota
Pasuruan;2018;Jambu Air;1637;Kota
Mojokerto;2018;Jambu Air;12;Kota
Madiun;2018;Jambu Air;43;Kota
Surabaya;2018;Jambu Air;2021;Kota
Batu;2018;Jambu Air;299;Kota
Pacitan;2019;Jambu Air;7206;Kabupaten
Ponorogo;2019;Jambu Air;4584;Kabupaten
Trenggalek;2019;Jambu Air;910;Kabupaten
Tulungagung;2019;Jambu Air;2320;Kabupaten
Blitar;2019;Jambu Air;2403;Kabupaten
Kediri;2019;Jambu Air;36212;Kabupaten
Malang;2019;Jambu Air;6822;Kabupaten
Lumajang;2019;Jambu Air;1040;Kabupaten
Jember;2019;Jambu Air;7378;Kabupaten
Banyuwangi;2019;Jambu Air;5463;Kabupaten
Bondowoso;2019;Jambu Air;2632;Kabupaten
Situbondo;2019;Jambu Air;526;Kabupaten
Probolinggo;2019;Jambu Air;2151;Kabupaten
Pasuruan;2019;Jambu Air;19225;Kabupaten
Sidoarjo;2019;Jambu Air;1380;Kabupaten
Mojokerto;2019;Jambu Air;1637;Kabupaten
Jombang;2019;Jambu Air;7206;Kabupaten
Nganjuk;2019;Jambu Air;14963;Kabupaten
Madiun;2019;Jambu Air;2524;Kabupaten
Magetan;2019;Jambu Air;558;Kabupaten
Ngawi;2019;Jambu Air;4990;Kabupaten
Bojonegoro;2019;Jambu Air;10202;Kabupaten
Tuban;2019;Jambu Air;1928;Kabupaten
Lamongan;2019;Jambu Air;5176;Kabupaten
Gresik;2019;Jambu Air;4578;Kabupaten
Bangkalan;2019;Jambu Air;455;Kabupaten
Sampang;2019;Jambu Air;29825;Kabupaten
Pamekasan;2019;Jambu Air;6155;Kabupaten
Sumenep;2019;Jambu Air;2226;Kabupaten
Kediri;2019;Jambu Air;3789;Kota
Blitar;2019;Jambu Air;210;Kota
Malang;2019;Jambu Air;123;Kota
Probolinggo;2019;Jambu Air;34;Kota
Pasuruan;2019;Jambu Air;1814;Kota
Mojokerto;2019;Jambu Air;12;Kota
Madiun;2019;Jambu Air;108;Kota
Surabaya;2019;Jambu Air;5002;Kota
Batu;2019;Jambu Air;228;Kota
Pacitan;2020;Jambu Air;4631;Kabupaten
Ponorogo;2020;Jambu Air;17854;Kabupaten
Trenggalek;2020;Jambu Air;1410;Kabupaten
Tulungagung;2020;Jambu Air;1951;Kabupaten
Blitar;2020;Jambu Air;2198;Kabupaten
Kediri;2020;Jambu Air;39716;Kabupaten
Malang;2020;Jambu Air;8046;Kabupaten
Lumajang;2020;Jambu Air;1436;Kabupaten
Jember;2020;Jambu Air;9927;Kabupaten
Banyuwangi;2020;Jambu Air;5385;Kabupaten
Bondowoso;2020;Jambu Air;2556;Kabupaten
Situbondo;2020;Jambu Air;191;Kabupaten
Probolinggo;2020;Jambu Air;1980;Kabupaten
Pasuruan;2020;Jambu Air;110744;Kabupaten
Sidoarjo;2020;Jambu Air;1095;Kabupaten
Mojokerto;2020;Jambu Air;2492;Kabupaten
Jombang;2020;Jambu Air;9797;Kabupaten
Nganjuk;2020;Jambu Air;12682;Kabupaten
Madiun;2020;Jambu Air;2172;Kabupaten
Magetan;2020;Jambu Air;461;Kabupaten
Ngawi;2020;Jambu Air;4544;Kabupaten
Bojonegoro;2020;Jambu Air;5499;Kabupaten
Tuban;2020;Jambu Air;3362;Kabupaten
Lamongan;2020;Jambu Air;31363;Kabupaten
Gresik;2020;Jambu Air;5425;Kabupaten
Bangkalan;2020;Jambu Air;1856;Kabupaten
Sampang;2020;Jambu Air;29403;Kabupaten
Pamekasan;2020;Jambu Air;5109;Kabupaten
Sumenep;2020;Jambu Air;2321;Kabupaten
Kediri;2020;Jambu Air;5900;Kota
Blitar;2020;Jambu Air;187;Kota
Malang;2020;Jambu Air;128;Kota
Probolinggo;2020;Jambu Air;53;Kota
Pasuruan;2020;Jambu Air;1966;Kota
Mojokerto;2020;Jambu Air;24;Kota
Madiun;2020;Jambu Air;165;Kota
Surabaya;2020;Jambu Air;3052;Kota
Batu;2020;Jambu Air;221;Kota
Pacitan;2021;Jambu Air;3588;Kabupaten
Ponorogo;2021;Jambu Air;8397;Kabupaten
Trenggalek;2021;Jambu Air;5185;Kabupaten
Tulungagung;2021;Jambu Air;2341;Kabupaten
Blitar;2021;Jambu Air;2688;Kabupaten
Kediri;2021;Jambu Air;38502;Kabupaten
Malang;2021;Jambu Air;10990;Kabupaten
Lumajang;2021;Jambu Air;784;Kabupaten
Jember;2021;Jambu Air;15708;Kabupaten
Banyuwangi;2021;Jambu Air;9078;Kabupaten
Bondowoso;2021;Jambu Air;2777;Kabupaten
Situbondo;2021;Jambu Air;977;Kabupaten
Probolinggo;2021;Jambu Air;3948;Kabupaten
Pasuruan;2021;Jambu Air;2031;Kabupaten
Sidoarjo;2021;Jambu Air;2387;Kabupaten
Mojokerto;2021;Jambu Air;2434;Kabupaten
Jombang;2021;Jambu Air;15441;Kabupaten
Nganjuk;2021;Jambu Air;14329;Kabupaten
Madiun;2021;Jambu Air;4389;Kabupaten
Magetan;2021;Jambu Air;1762;Kabupaten
Ngawi;2021;Jambu Air;9530;Kabupaten
Bojonegoro;2021;Jambu Air;4688;Kabupaten
Tuban;2021;Jambu Air;3761;Kabupaten
Lamongan;2021;Jambu Air;6675;Kabupaten
Gresik;2021;Jambu Air;21231;Kabupaten
Bangkalan;2021;Jambu Air;3354;Kabupaten
Sampang;2021;Jambu Air;32925;Kabupaten
Pamekasan;2021;Jambu Air;4118;Kabupaten
Sumenep;2021;Jambu Air;2443;Kabupaten
Kediri;2021;Jambu Air;4380;Kota
Blitar;2021;Jambu Air;190;Kota
Malang;2021;Jambu Air;136;Kota
Probolinggo;2021;Jambu Air;19;Kota
Pasuruan;2021;Jambu Air;2222;Kota
Mojokerto;2021;Jambu Air;16;Kota
Madiun;2021;Jambu Air;195;Kota
Surabaya;2021;Jambu Air;2326;Kota
Batu;2021;Jambu Air;224;Kota
Pacitan;2018;Mangga;166205;Kabupaten
Ponorogo;2018;Mangga;668898;Kabupaten
Trenggalek;2018;Mangga;144925;Kabupaten
Tulungagung;2018;Mangga;97751;Kabupaten
Blitar;2018;Mangga;65863;Kabupaten
Kediri;2018;Mangga;1222756;Kabupaten
Malang;2018;Mangga;172498;Kabupaten
Lumajang;2018;Mangga;108345;Kabupaten
Jember;2018;Mangga;153528;Kabupaten
Banyuwangi;2018;Mangga;353863;Kabupaten
Bondowoso;2018;Mangga;470017;Kabupaten
Situbondo;2018;Mangga;158515;Kabupaten
Probolinggo;2018;Mangga;273511;Kabupaten
Pasuruan;2018;Mangga;2453522;Kabupaten
Sidoarjo;2018;Mangga;89804;Kabupaten
Mojokerto;2018;Mangga;166773;Kabupaten
Jombang;2018;Mangga;270627;Kabupaten
Nganjuk;2018;Mangga;271814;Kabupaten
Madiun;2018;Mangga;351114;Kabupaten
Magetan;2018;Mangga;252000;Kabupaten
Ngawi;2018;Mangga;193926;Kabupaten
Bojonegoro;2018;Mangga;558413;Kabupaten
Tuban;2018;Mangga;379330;Kabupaten
Lamongan;2018;Mangga;285665;Kabupaten
Gresik;2018;Mangga;307556;Kabupaten
Bangkalan;2018;Mangga;132055;Kabupaten
Sampang;2018;Mangga;256088;Kabupaten
Pamekasan;2018;Mangga;180427;Kabupaten
Sumenep;2018;Mangga;273292;Kabupaten
Kediri;2018;Mangga;12285;Kota
Blitar;2018;Mangga;3063;Kota
Malang;2018;Mangga;2843;Kota
Probolinggo;2018;Mangga;25765;Kota
Pasuruan;2018;Mangga;29970;Kota
Mojokerto;2018;Mangga;2643;Kota
Madiun;2018;Mangga;7887;Kota
Surabaya;2018;Mangga;28966;Kota
Batu;2018;Mangga;753;Kota
Pacitan;2019;Mangga;81580;Kabupaten
Ponorogo;2019;Mangga;582415;Kabupaten
Trenggalek;2019;Mangga;131614;Kabupaten
Tulungagung;2019;Mangga;116524;Kabupaten
Blitar;2019;Mangga;95975;Kabupaten
Kediri;2019;Mangga;1214012;Kabupaten
Malang;2019;Mangga;203287;Kabupaten
Lumajang;2019;Mangga;132022;Kabupaten
Jember;2019;Mangga;177316;Kabupaten
Banyuwangi;2019;Mangga;140222;Kabupaten
Bondowoso;2019;Mangga;446420;Kabupaten
Situbondo;2019;Mangga;260911;Kabupaten
Probolinggo;2019;Mangga;806092;Kabupaten
Pasuruan;2019;Mangga;2460098;Kabupaten
Sidoarjo;2019;Mangga;90247;Kabupaten
Mojokerto;2019;Mangga;115459;Kabupaten
Jombang;2019;Mangga;222514;Kabupaten
Nganjuk;2019;Mangga;559772;Kabupaten
Madiun;2019;Mangga;438254;Kabupaten
Magetan;2019;Mangga;123690;Kabupaten
Ngawi;2019;Mangga;169930;Kabupaten
Bojonegoro;2019;Mangga;598767;Kabupaten
Tuban;2019;Mangga;380503;Kabupaten
Lamongan;2019;Mangga;439425;Kabupaten
Gresik;2019;Mangga;379227;Kabupaten
Bangkalan;2019;Mangga;221339;Kabupaten
Sampang;2019;Mangga;329261;Kabupaten
Pamekasan;2019;Mangga;142023;Kabupaten
Sumenep;2019;Mangga;296646;Kabupaten
Kediri;2019;Mangga;19344;Kota
Blitar;2019;Mangga;3128;Kota
Malang;2019;Mangga;3690;Kota
Probolinggo;2019;Mangga;27457;Kota
Pasuruan;2019;Mangga;39736;Kota
Mojokerto;2019;Mangga;1517;Kota
Madiun;2019;Mangga;3963;Kota
Surabaya;2019;Mangga;26132;Kota
Batu;2019;Mangga;700;Kota
Pacitan;2020;Mangga;68098;Kabupaten
Ponorogo;2020;Mangga;361430;Kabupaten
Trenggalek;2020;Mangga;75442;Kabupaten
Tulungagung;2020;Mangga;50116;Kabupaten
Blitar;2020;Mangga;48009;Kabupaten
Kediri;2020;Mangga;1206123;Kabupaten
Malang;2020;Mangga;226697;Kabupaten
Lumajang;2020;Mangga;114449;Kabupaten
Jember;2020;Mangga;200539;Kabupaten
Banyuwangi;2020;Mangga;271319;Kabupaten
Bondowoso;2020;Mangga;750573;Kabupaten
Situbondo;2020;Mangga;276820;Kabupaten
Probolinggo;2020;Mangga;1061958;Kabupaten
Pasuruan;2020;Mangga;2478500;Kabupaten
Sidoarjo;2020;Mangga;86922;Kabupaten
Mojokerto;2020;Mangga;176598;Kabupaten
Jombang;2020;Mangga;265305;Kabupaten
Nganjuk;2020;Mangga;373740;Kabupaten
Madiun;2020;Mangga;376819;Kabupaten
Magetan;2020;Mangga;474235;Kabupaten
Ngawi;2020;Mangga;122070;Kabupaten
Bojonegoro;2020;Mangga;533786;Kabupaten
Tuban;2020;Mangga;566192;Kabupaten
Lamongan;2020;Mangga;891529;Kabupaten
Gresik;2020;Mangga;675921;Kabupaten
Bangkalan;2020;Mangga;277262;Kabupaten
Sampang;2020;Mangga;451294;Kabupaten
Pamekasan;2020;Mangga;66673;Kabupaten
Sumenep;2020;Mangga;297613;Kabupaten
Kediri;2020;Mangga;6473;Kota
Blitar;2020;Mangga;17574;Kota
Malang;2020;Mangga;5727;Kota
Probolinggo;2020;Mangga;14667;Kota
Pasuruan;2020;Mangga;24244;Kota
Mojokerto;2020;Mangga;680;Kota
Madiun;2020;Mangga;9307;Kota
Surabaya;2020;Mangga;24120;Kota
Batu;2020;Mangga;771;Kota
Pacitan;2021;Mangga;63739;Kabupaten
Ponorogo;2021;Mangga;625060;Kabupaten
Trenggalek;2021;Mangga;114860;Kabupaten
Tulungagung;2021;Mangga;46832;Kabupaten
Blitar;2021;Mangga;34364;Kabupaten
