Kota/Kabupaten,Tahun,Luas Panen Bawang Merah,Luas Panen Cabai Besar,Luas Panen Cabai Rawit,Luas Panen Sawi,Luas Panen Tomat,Wilayah
Bangkalan,2020,5,55,542,2,21,Kabupaten
Sampang,2020,4105,33,6793,71,38,Kabupaten
Pamekasan,2020,2726,288,2587,22,40,Kabupaten
Sumenep,2020,977,239,1911,79,125,Kabupaten
Kediri,2020,14,8,9,71,1,Kota
Blitar,2020,5,15,51,16,2,Kota
Malang,2020,282,48,14,7,4,Kota
Probolinggo,2020,599,4,88,29,41,Kota
Pasuruan,2020,282,2,1316,71,54,Kota
Mojokerto,2020,282,166,1316,71,54,Kota
Madiun,2020,282,1,1316,71,54,Kota
Surabaya,2020,4,13,70,27,9,Kota
Batu,2020,432,181,118,491,224,Kota
Pacitan,2021,50,319,203,54,35,Kabupaten
Ponorogo,2021,465,113,791,118,59,Kabupaten
Trenggalek,2021,144,66,207,131,29,Kabupaten
Tulungagung,2021,527,177,264,212,46,Kabupaten
Blitar,2021,1296,1248,10013,95,155,Kabupaten
Kediri,2021,2214,2859,8940,268,621,Kabupaten
Malang,2021,2157,1966,4316,2756,1602,Kabupaten
Lumajang,2021,3,493,2071,377,245,Kabupaten
Jember,2021,13,467,2319,242,130,Kabupaten
Banyuwangi,2021,717,1642,4842,164,320,Kabupaten
Bondowoso,2021,48,24,1499,43,107,Kabupaten
Situbondo,2021,638,145,4403,80,27,Kabupaten
Probolinggo,2021,9267,433,6039,72,386,Kabupaten
Pasuruan,2021,738,1038,1085,124,187,Kabupaten
Sidoarjo,2021,61,4,1,542,1,Kabupaten
Mojokerto,2021,427,31,3441,74,48,Kabupaten
Jombang,2021,198,88,550,68,27,Kabupaten
Nganjuk,2021,16780,251,1125,29,2,Kabupaten
Madiun,2021,326,12,16,80,5,Kabupaten
Magetan,2021,757,856,170,698,403,Kabupaten
Ngawi,2021,496,281,182,60,59,Kabupaten
Bojonegoro,2021,3703,300,364,80,45,Kabupaten
Tuban,2021,335,1293,9632,27,181,Kabupaten
Lamongan,2021,218,32,3769,9,18,Kabupaten
Gresik,2021,9,476,1707,60,26,Kabupaten
Bangkalan,2021,3,82,671,7,7,Kabupaten
Sampang,2021,4213,134,4764,80,26,Kabupaten
Pamekasan,2021,2736,318,2051,33,37,Kabupaten
Sumenep,2021,1669,252,2595,80,184,Kabupaten
Kediri,2021,28,5,18,80,2,Kota
Blitar,2021,9,22,81,14,1,Kota
Malang,2021,465,38,15,20,1,Kota
Probolinggo,2021,676,16,108,31,66,Kota
Pasuruan,2021,1,252,1499,80,46,Kota
Mojokerto,2021,465,252,1499,80,46,Kota
Madiun,2021,2,252,1499,80,46,Kota
Surabaya,2021,465,7,64,57,6,Kota
Batu,2021,332,145,79,555,192,Kota
