Kota/Kabupaten,Tahun,Produksi Alpukat,Produksi Belimbing,Produksi Jambu Air,Produksi Mangga,Produksi Pepaya,Wilayah
Kediri,2020,599,2805,5900,6473,1014,Kota
Blitar,2020,669,30156,187,17574,7835,Kota
Malang,2020,357,1419,128,5727,2416,Kota
Probolinggo,2020,10,1336,53,14667,2219,Kota
Pasuruan,2020,173,2426,1966,24244,1079,Kota
Mojokerto,2020,9424,22,24,680,24,Kota
Madiun,2020,9424,1069,165,9307,2433,Kota
Surabaya,2020,4,4290,3052,24120,712,Kota
Batu,2020,58022,99,221,771,1229,Kota
Pacitan,2021,17726,1991,3588,63739,12324,Kabupaten
Ponorogo,2021,46683,12802,8397,625060,76731,Kabupaten
Trenggalek,2021,39584,4087,5185,114860,14656,Kabupaten
Tulungagung,2021,24776,103994,2341,46832,50941,Kabupaten
Blitar,2021,120285,109513,2688,34364,89336,Kabupaten
Kediri,2021,130983,40225,38502,762121,98784,Kabupaten
Malang,2021,518011,174485,10990,125140,924167,Kabupaten
Lumajang,2021,30217,7027,784,94122,296218,Kabupaten
Jember,2021,50740,21270,15708,125589,265808,Kabupaten
Banyuwangi,2021,12464,6925,9078,119831,407684,Kabupaten
Bondowoso,2021,53282,2209,2777,814698,38942,Kabupaten
Situbondo,2021,3054,589,977,309424,4349,Kabupaten
Probolinggo,2021,35921,3084,3948,1412406,21844,Kabupaten
Pasuruan,2021,53186,952,2031,1680232,63368,Kabupaten
Sidoarjo,2021,43,11090,2387,99273,3024,Kabupaten
Mojokerto,2021,25041,5177,2434,117178,10679,Kabupaten
Jombang,2021,13405,62268,15441,477591,233907,Kabupaten
Nganjuk,2021,79874,25901,14329,222937,5318,Kabupaten
Madiun,2021,12904,4952,4389,383108,26077,Kabupaten
Magetan,2021,19784,1137,1762,283883,25143,Kabupaten
Ngawi,2021,7704,10856,9530,148098,71438,Kabupaten
Bojonegoro,2021,456,10954,4688,375295,28974,Kabupaten
Tuban,2021,1166,45759,3761,456566,13876,Kabupaten
Lamongan,2021,92,8274,6675,186905,10455,Kabupaten
Gresik,2021,1253,6896,21231,1418553,67601,Kabupaten
Bangkalan,2021,1205,397,3354,174979,9413,Kabupaten
Sampang,2021,231,184,32925,549758,26077,Kabupaten
Pamekasan,2021,5453,720,4118,91614,9976,Kabupaten
Sumenep,2021,850,1533,2443,228428,27384,Kabupaten
Kediri,2021,2194,3587,4380,9313,4199,Kota
Blitar,2021,1093,30597,190,8428,10730,Kota
Malang,2021,745,1491,136,9536,2169,Kota
Probolinggo,2021,12,516,19,17792,787,Kota
Pasuruan,2021,168,2346,2222,23900,1243,Kota
Mojokerto,2021,12684,77,16,12588,101,Kota
Madiun,2021,12684,1244,195,10190,2578,Kota
Surabaya,2021,4,2538,2326,3676,912,Kota
Batu,2021,58334,88,224,735,1091,Kota
